year,co2
0,284.3169988
1,287.1601688
2,290.0317705
3,292.9320882
4,295.8614091
5,298.8200232
6,301.8082234
7,304.8263056
8,307.8745687
9,310.9533144
10,314.0628475
11,317.203476
12,320.3755107
13,323.5792658
14,326.8150585
15,330.0832091
16,333.3840412
17,336.7178816
18,340.0850604
19,343.485911
20,346.9207701
21,350.3899778
22,353.8938776
23,357.4328164
24,361.0071445
25,364.617216
26,368.2633881
27,371.946022
28,375.6654822
29,379.4221371
30,383.2163584
31,387.048522
32,390.9190072
33,394.8281973
34,398.7764793
35,402.7642441
36,406.7918865
37,410.8598054
38,414.9684034
39,419.1180875
40,423.3092684
41,427.542361
42,431.8177846
43,436.1359625
44,440.4973221
45,444.9022953
46,449.3513183
47,453.8448315
48,458.3832798
49,462.9671126
50,467.5967837
51,472.2727516
52,476.9954791
53,481.7654339
54,486.5830882
55,491.4489191
56,496.3634083
57,501.3270424
58,506.3403128
59,511.4037159
60,516.5177531
61,521.6829306
62,526.8997599
63,532.1687575
64,537.4904451
65,542.8653495
66,548.294003
67,553.7769431
68,559.3147125
69,564.9078596
70,570.5569382
71,576.2625076
72,582.0251327
73,587.845384
74,593.7238378
75,599.6610762
76,605.657687
77,611.7142638
78,617.8314065
79,624.0097205
80,630.2498177
81,636.5523159
82,642.9178391
83,649.3470175
84,655.8404876
85,662.3988925
86,669.0228815
87,675.7131103
88,682.4702414
89,689.2949438
90,696.1878932
91,703.1497722
92,710.1812699
93,717.2830826
94,724.4559134
95,731.7004725
96,739.0174773
97,746.407652
98,753.8717285
99,761.4104458
100,769.0245503
101,776.7147958
102,784.4819438
103,792.3267632
104,800.2500308
105,808.2525311
106,816.3350564
107,824.498407
108,832.7433911
109,841.070825
110,849.4815332
111,857.9763486
112,866.5561121
113,875.2216732
114,883.9738899
115,892.8136288
116,901.7417651
117,910.7591827
118,919.8667746
119,929.0654423
120,938.3560967
121,947.7396577
122,957.2170543
123,966.7892248
124,976.4571171
125,986.2216882
126,996.0839051
127,1006.044744
128,1016.105192
129,1026.266244
130,1036.528906
131,1046.894195
132,1057.363137
133,1067.936768
134,1078.616136
135,1089.402297
136,1100.29632
137,1111.299284
138,1122.412276
139,1133.636399
140,1144.972763